Team,Goal,Ball Possession,Attempt on Goal,On Target,Attempts inside the Box,Attempts outside the Box,Penalty Goal,Corner,Cross,Passes,Key Pass,Accurate Key Passes,Accurate Passes,Attacking Passes,Air Challenge,Won Air Challenge,Ground Challenges,Won Ground Challenges,Dribbles,Successful Dribbles,Successful Tackles,Ball Recoveries,Ball Recoveries in Opponents Half,Ball Recoveries in Own Half,Blocked Attempts on Goal,Lost Ball,Lost Ball own half,Penalty Miss,Yellow Card,Red Card,Foul,Offside,Opponent Fouls,Assists,Left Flank Attacks,Right Flank Attacks,Center Flank Attacks,Left Flank Attacks With Shot,Right Flank Attacks With Shot,Center Flank Attacks With Shot,Season,Gameweek
Maccabi Tel Aviv,2.0,68.21,17.0,6.0,6.0,11.0,1.0,5.0,10.0,729.0,7.0,1.0,668.0,405.0,23.0,13.0,65.0,35.0,21.0,11.0,15.0,48.0,12.0,36.0,4.0,55.0,7.0,0.0,2.0,0.0,14.0,1.0,9.0,0.0,25.0,33.0,23.0,7.0,2.0,4.0,19/20,1
Bnei Yehuda,2.0,65.76,23.0,10.0,15.0,8.0,0.0,16.0,44.0,594.0,11.0,6.0,501.0,419.0,35.0,16.0,91.0,46.0,26.0,12.0,25.0,52.0,10.0,42.0,1.0,62.0,10.0,0.0,2.0,0.0,7.0,0.0,4.0,1.0,38.0,45.0,9.0,9.0,6.0,3.0,19/20,1
Maccabi Haifa,4.0,65.63,27.0,12.0,18.0,9.0,0.0,12.0,29.0,629.0,15.0,9.0,564.0,453.0,26.0,14.0,83.0,41.0,22.0,13.0,25.0,46.0,12.0,34.0,2.0,50.0,2.0,0.0,5.0,0.0,11.0,3.0,10.0,4.0,28.0,37.0,25.0,5.0,10.0,3.0,19/20,1
Maccabi Netanya,0.0,57.32,9.0,3.0,4.0,5.0,0.0,4.0,7.0,462.0,4.0,0.0,395.0,339.0,47.0,25.0,132.0,66.0,25.0,10.0,38.0,47.0,6.0,41.0,2.0,73.0,14.0,0.0,2.0,1.0,15.0,3.0,12.0,0.0,32.0,28.0,19.0,4.0,1.0,0.0,19/20,1
Hapoel Kfar Saba,0.0,56.64,10.0,3.0,2.0,8.0,0.0,3.0,12.0,447.0,4.0,2.0,372.0,337.0,40.0,19.0,115.0,57.0,30.0,16.0,37.0,57.0,10.0,47.0,4.0,75.0,15.0,0.0,4.0,0.0,12.0,1.0,13.0,0.0,34.0,28.0,20.0,4.0,2.0,1.0,19/20,1
Hapoel Hadera,1.0,52.24,7.0,3.0,3.0,4.0,0.0,5.0,7.0,464.0,5.0,1.0,390.0,293.0,31.0,15.0,132.0,72.0,26.0,18.0,49.0,53.0,10.0,43.0,3.0,70.0,17.0,0.0,1.0,0.0,19.0,2.0,10.0,1.0,21.0,42.0,13.0,3.0,2.0,1.0,19/20,1
Beitar Jerusalem,0.0,50.4,13.0,6.0,3.0,10.0,0.0,6.0,10.0,381.0,6.0,2.0,310.0,280.0,42.0,19.0,125.0,53.0,27.0,13.0,29.0,45.0,9.0,36.0,3.0,69.0,7.0,0.0,4.0,0.0,12.0,2.0,17.0,0.0,33.0,34.0,19.0,3.0,3.0,5.0,19/20,1
Hapoel Beer Sheva,0.0,49.6,11.0,2.0,5.0,6.0,0.0,3.0,5.0,390.0,3.0,2.0,326.0,262.0,42.0,23.0,125.0,72.0,23.0,14.0,41.0,46.0,3.0,43.0,4.0,66.0,18.0,0.0,5.0,1.0,18.0,2.0,11.0,0.0,23.0,26.0,18.0,5.0,2.0,1.0,19/20,1
SC Ashdod,1.0,47.76,13.0,7.0,8.0,5.0,0.0,4.0,10.0,478.0,6.0,2.0,416.0,299.0,31.0,16.0,132.0,60.0,36.0,22.0,35.0,38.0,8.0,30.0,3.0,66.0,12.0,0.0,2.0,0.0,10.0,1.0,16.0,0.0,44.0,19.0,11.0,5.0,2.0,2.0,19/20,1
Hapoel Haifa,1.0,43.36,14.0,6.0,8.0,6.0,0.0,6.0,10.0,344.0,6.0,3.0,275.0,255.0,40.0,21.0,115.0,58.0,31.0,19.0,39.0,55.0,9.0,46.0,2.0,71.0,20.0,0.0,3.0,0.0,13.0,2.0,11.0,1.0,19.0,27.0,19.0,2.0,3.0,3.0,19/20,1
Hapoel Tel Aviv,0.0,42.68,6.0,1.0,1.0,5.0,0.0,4.0,8.0,350.0,2.0,1.0,278.0,249.0,47.0,22.0,132.0,66.0,27.0,10.0,35.0,41.0,7.0,34.0,1.0,77.0,17.0,0.0,2.0,0.0,13.0,0.0,12.0,0.0,36.0,29.0,16.0,3.0,1.0,1.0,19/20,1
Hapoel Raanana,3.0,34.37,7.0,3.0,6.0,1.0,1.0,1.0,3.0,242.0,5.0,2.0,191.0,186.0,26.0,12.0,83.0,42.0,21.0,12.0,25.0,36.0,2.0,34.0,2.0,62.0,17.0,0.0,1.0,0.0,11.0,2.0,9.0,1.0,15.0,20.0,17.0,2.0,2.0,2.0,19/20,1
Ironi Kiryat Shmona,1.0,34.24,6.0,2.0,5.0,1.0,0.0,3.0,5.0,314.0,3.0,2.0,244.0,207.0,35.0,19.0,91.0,45.0,21.0,6.0,30.0,47.0,9.0,38.0,2.0,69.0,16.0,0.0,3.0,2.0,5.0,1.0,7.0,1.0,13.0,26.0,12.0,2.0,3.0,0.0,19/20,1
Sektzia Nes Ziona,0.0,31.79,7.0,0.0,1.0,6.0,0.0,2.0,13.0,369.0,1.0,0.0,300.0,277.0,23.0,10.0,65.0,30.0,8.0,5.0,24.0,36.0,2.0,34.0,2.0,63.0,17.0,0.0,1.0,0.0,11.0,3.0,13.0,0.0,22.0,19.0,12.0,3.0,1.0,2.0,19/20,1
Ironi Kiryat Shmona,1.0,64.5,16.0,6.0,9.0,7.0,0.0,5.0,18.0,497.0,8.0,3.0,417.0,344.0,47.0,30.0,103.0,53.0,30.0,20.0,28.0,56.0,9.0,47.0,3.0,66.0,11.0,1.0,1.0,0.0,12.0,6.0,12.0,1.0,36.0,30.0,11.0,7.0,4.0,0.0,19/20,2
Beitar Jerusalem,1.0,63.21,21.0,7.0,12.0,9.0,0.0,9.0,22.0,602.0,12.0,6.0,523.0,459.0,33.0,16.0,113.0,56.0,41.0,22.0,27.0,47.0,10.0,37.0,2.0,64.0,9.0,0.0,1.0,1.0,11.0,0.0,13.0,1.0,29.0,38.0,20.0,4.0,6.0,4.0,19/20,2
Hapoel Beer Sheva,3.0,63.15,21.0,6.0,11.0,10.0,0.0,11.0,24.0,554.0,13.0,8.0,488.0,372.0,31.0,16.0,114.0,67.0,33.0,24.0,36.0,51.0,13.0,38.0,0.0,58.0,5.0,0.0,2.0,0.0,11.0,1.0,15.0,2.0,38.0,28.0,14.0,7.0,7.0,0.0,19/20,2
Maccabi Haifa,0.0,59.56,13.0,6.0,5.0,8.0,0.0,8.0,17.0,499.0,10.0,4.0,417.0,355.0,30.0,13.0,93.0,48.0,30.0,18.0,22.0,58.0,13.0,45.0,4.0,72.0,7.0,0.0,4.0,0.0,9.0,4.0,8.0,0.0,30.0,34.0,14.0,4.0,5.0,1.0,19/20,2
Maccabi Tel Aviv,0.0,53.13,7.0,2.0,5.0,2.0,0.0,3.0,11.0,473.0,5.0,2.0,399.0,324.0,37.0,20.0,82.0,46.0,22.0,13.0,23.0,43.0,5.0,38.0,4.0,51.0,3.0,0.0,4.0,1.0,7.0,0.0,14.0,0.0,20.0,27.0,22.0,1.0,2.0,1.0,19/20,2
Sektzia Nes Ziona,0.0,50.61,8.0,3.0,3.0,5.0,0.0,9.0,18.0,469.0,6.0,0.0,366.0,304.0,31.0,10.0,85.0,39.0,21.0,12.0,21.0,60.0,13.0,47.0,3.0,82.0,23.0,0.0,1.0,0.0,10.0,1.0,6.0,0.0,24.0,36.0,17.0,3.0,2.0,1.0,19/20,2
Hapoel Tel Aviv,1.0,50.47,16.0,5.0,7.0,9.0,0.0,10.0,11.0,415.0,6.0,2.0,343.0,274.0,57.0,29.0,113.0,48.0,27.0,14.0,37.0,50.0,9.0,41.0,5.0,67.0,11.0,0.0,0.0,0.0,16.0,2.0,8.0,1.0,31.0,27.0,14.0,4.0,6.0,0.0,19/20,2
SC Ashdod,2.0,49.53,14.0,6.0,9.0,5.0,0.0,9.0,14.0,403.0,3.0,3.0,327.0,264.0,57.0,28.0,113.0,65.0,32.0,19.0,33.0,47.0,7.0,40.0,5.0,65.0,14.0,0.0,2.0,0.0,8.0,0.0,15.0,1.0,24.0,28.0,17.0,1.0,5.0,1.0,19/20,2
Maccabi Netanya,3.0,49.39,14.0,8.0,7.0,7.0,0.0,5.0,18.0,477.0,8.0,5.0,382.0,302.0,31.0,21.0,85.0,46.0,17.0,10.0,29.0,59.0,14.0,45.0,2.0,76.0,17.0,0.0,2.0,0.0,6.0,1.0,10.0,3.0,21.0,28.0,23.0,2.0,5.0,3.0,19/20,2
Bnei Yehuda,0.0,46.88,9.0,4.0,3.0,6.0,0.0,4.0,7.0,414.0,6.0,1.0,352.0,282.0,37.0,17.0,82.0,36.0,16.0,9.0,27.0,47.0,3.0,44.0,2.0,51.0,6.0,0.0,3.0,0.0,16.0,2.0,5.0,0.0,24.0,18.0,14.0,1.0,2.0,3.0,19/20,2
Hapoel Haifa,0.0,40.44,10.0,3.0,2.0,8.0,0.0,3.0,8.0,356.0,2.0,0.0,279.0,259.0,30.0,17.0,93.0,45.0,15.0,8.0,38.0,45.0,5.0,40.0,4.0,68.0,17.0,0.0,3.0,0.0,8.0,0.0,9.0,0.0,20.0,21.0,18.0,3.0,2.0,2.0,19/20,2
Hapoel Hadera,0.0,36.85,3.0,2.0,1.0,2.0,0.0,2.0,3.0,311.0,1.0,1.0,242.0,211.0,31.0,15.0,114.0,47.0,24.0,14.0,40.0,39.0,4.0,35.0,3.0,71.0,20.0,0.0,5.0,0.0,15.0,2.0,11.0,0.0,21.0,21.0,13.0,1.0,1.0,1.0,19/20,2
Hapoel Raanana,2.0,36.79,9.0,2.0,5.0,4.0,0.0,2.0,4.0,286.0,4.0,2.0,223.0,214.0,33.0,17.0,113.0,57.0,19.0,12.0,52.0,53.0,6.0,47.0,4.0,69.0,19.0,0.0,4.0,0.0,14.0,4.0,11.0,1.0,22.0,17.0,18.0,4.0,2.0,2.0,19/20,2
Hapoel Kfar Saba,3.0,35.5,11.0,6.0,8.0,3.0,1.0,6.0,2.0,260.0,7.0,3.0,192.0,218.0,47.0,17.0,103.0,50.0,22.0,12.0,34.0,46.0,7.0,39.0,4.0,70.0,15.0,0.0,2.0,1.0,15.0,2.0,11.0,2.0,28.0,21.0,22.0,3.0,5.0,1.0,19/20,2
Beitar Jerusalem,0.0,66.94,13.0,2.0,4.0,9.0,0.0,11.0,27.0,547.0,6.0,0.0,449.0,411.0,29.0,14.0,113.0,63.0,27.0,11.0,28.0,44.0,11.0,33.0,0.0,67.0,10.0,0.0,1.0,0.0,17.0,2.0,12.0,0.0,28.0,35.0,20.0,2.0,5.0,3.0,19/20,3
Hapoel Tel Aviv,1.0,66.56,8.0,2.0,5.0,3.0,0.0,6.0,17.0,653.0,10.0,4.0,571.0,360.0,30.0,15.0,109.0,48.0,27.0,16.0,29.0,45.0,7.0,38.0,2.0,76.0,16.0,0.0,1.0,0.0,7.0,3.0,15.0,1.0,24.0,43.0,17.0,1.0,4.0,1.0,19/20,3
Maccabi Tel Aviv,1.0,64.0,14.0,6.0,6.0,8.0,0.0,5.0,14.0,714.0,7.0,4.0,639.0,488.0,33.0,19.0,92.0,40.0,16.0,6.0,25.0,55.0,13.0,42.0,3.0,60.0,8.0,0.0,1.0,0.0,15.0,1.0,10.0,1.0,32.0,33.0,28.0,5.0,2.0,4.0,19/20,3
Hapoel Beer Sheva,2.0,61.27,16.0,5.0,11.0,5.0,0.0,3.0,20.0,565.0,8.0,4.0,479.0,393.0,26.0,16.0,123.0,57.0,26.0,12.0,32.0,45.0,8.0,37.0,3.0,63.0,7.0,0.0,2.0,0.0,15.0,1.0,16.0,1.0,31.0,50.0,16.0,2.0,8.0,1.0,19/20,3
Maccabi Netanya,0.0,60.36,18.0,6.0,7.0,11.0,0.0,8.0,14.0,546.0,3.0,2.0,460.0,368.0,46.0,18.0,121.0,54.0,31.0,19.0,35.0,50.0,11.0,39.0,0.0,74.0,13.0,0.0,5.0,0.0,13.0,0.0,10.0,0.0,30.0,24.0,28.0,7.0,4.0,3.0,19/20,3
Hapoel Hadera,4.0,59.09,18.0,8.0,7.0,11.0,2.0,4.0,9.0,410.0,1.0,0.0,342.0,288.0,26.0,10.0,85.0,47.0,20.0,10.0,25.0,42.0,5.0,37.0,2.0,60.0,13.0,0.0,1.0,0.0,8.0,1.0,12.0,1.0,24.0,28.0,16.0,7.0,5.0,2.0,19/20,3
Maccabi Haifa,2.0,52.0,21.0,11.0,11.0,10.0,0.0,5.0,21.0,488.0,11.0,5.0,394.0,367.0,46.0,23.0,110.0,63.0,29.0,22.0,38.0,58.0,14.0,44.0,3.0,73.0,18.0,0.0,1.0,0.0,4.0,3.0,10.0,1.0,29.0,30.0,26.0,5.0,6.0,6.0,19/20,3
Ironi Kiryat Shmona,0.0,48.0,15.0,2.0,10.0,5.0,0.0,4.0,14.0,435.0,4.0,3.0,351.0,294.0,46.0,23.0,110.0,47.0,29.0,16.0,41.0,63.0,12.0,51.0,3.0,74.0,18.0,0.0,1.0,0.0,11.0,0.0,4.0,0.0,30.0,27.0,19.0,5.0,5.0,2.0,19/20,3
Hapoel Raanana,0.0,40.91,4.0,0.0,4.0,0.0,0.0,5.0,19.0,391.0,5.0,1.0,315.0,252.0,26.0,16.0,85.0,38.0,17.0,11.0,30.0,45.0,8.0,37.0,5.0,68.0,9.0,0.0,3.0,0.0,12.0,5.0,7.0,0.0,33.0,25.0,8.0,1.0,2.0,0.0,19/20,3
Bnei Yehuda,0.0,39.64,11.0,2.0,3.0,8.0,0.0,5.0,9.0,364.0,3.0,1.0,271.0,282.0,46.0,28.0,121.0,67.0,31.0,17.0,41.0,54.0,9.0,45.0,5.0,76.0,17.0,0.0,2.0,0.0,11.0,1.0,12.0,0.0,24.0,23.0,23.0,2.0,7.0,0.0,19/20,3
SC Ashdod,2.0,38.73,13.0,7.0,6.0,7.0,0.0,4.0,9.0,280.0,10.0,4.0,215.0,211.0,26.0,10.0,123.0,66.0,29.0,17.0,35.0,48.0,2.0,46.0,3.0,63.0,13.0,0.0,6.0,0.0,17.0,2.0,13.0,1.0,23.0,20.0,18.0,2.0,4.0,3.0,19/20,3
Hapoel Kfar Saba,0.0,36.0,8.0,3.0,3.0,5.0,0.0,3.0,8.0,382.0,5.0,3.0,313.0,281.0,33.0,14.0,92.0,52.0,17.0,11.0,27.0,44.0,3.0,41.0,2.0,68.0,18.0,0.0,2.0,1.0,11.0,2.0,15.0,0.0,24.0,21.0,21.0,1.0,2.0,4.0,19/20,3
Sektzia Nes Ziona,1.0,33.44,9.0,5.0,5.0,4.0,0.0,4.0,9.0,285.0,3.0,2.0,208.0,231.0,30.0,15.0,109.0,61.0,25.0,14.0,38.0,47.0,10.0,37.0,1.0,74.0,12.0,0.0,4.0,1.0,19.0,1.0,6.0,0.0,28.0,23.0,12.0,3.0,3.0,2.0,19/20,3
Hapoel Haifa,2.0,33.06,5.0,3.0,4.0,1.0,0.0,1.0,8.0,273.0,3.0,0.0,198.0,189.0,29.0,15.0,113.0,50.0,21.0,7.0,36.0,46.0,8.0,38.0,3.0,66.0,16.0,0.0,2.0,0.0,12.0,1.0,16.0,0.0,20.0,29.0,9.0,2.0,2.0,1.0,19/20,3
Maccabi Haifa,0.0,57.5,11.0,3.0,2.0,9.0,0.0,2.0,18.0,503.0,5.0,2.0,408.0,358.0,37.0,17.0,96.0,46.0,27.0,15.0,27.0,55.0,12.0,43.0,0.0,74.0,12.0,0.0,4.0,0.0,13.0,3.0,11.0,0.0,36.0,31.0,16.0,4.0,4.0,2.0,19/20,4
Hapoel Kfar Saba,2.0,56.18,14.0,5.0,4.0,10.0,1.0,5.0,9.0,440.0,8.0,4.0,355.0,325.0,53.0,28.0,136.0,70.0,36.0,24.0,38.0,54.0,9.0,45.0,3.0,78.0,22.0,0.0,3.0,0.0,17.0,0.0,20.0,1.0,27.0,34.0,25.0,2.0,7.0,3.0,19/20,4
Hapoel Haifa,1.0,55.78,17.0,5.0,11.0,6.0,0.0,9.0,25.0,582.0,4.0,2.0,507.0,389.0,25.0,16.0,115.0,55.0,25.0,9.0,41.0,37.0,9.0,28.0,2.0,56.0,2.0,0.0,4.0,0.0,11.0,2.0,12.0,1.0,21.0,42.0,19.0,4.0,5.0,2.0,19/20,4
SC Ashdod,1.0,53.59,19.0,7.0,6.0,13.0,0.0,3.0,25.0,597.0,2.0,0.0,515.0,425.0,22.0,14.0,102.0,56.0,26.0,15.0,27.0,48.0,17.0,31.0,2.0,63.0,5.0,0.0,2.0,0.0,13.0,0.0,14.0,1.0,30.0,26.0,26.0,5.0,4.0,7.0,19/20,4
Hapoel Beer Sheva,3.0,52.13,17.0,6.0,13.0,4.0,1.0,4.0,12.0,412.0,6.0,5.0,341.0,286.0,19.0,10.0,116.0,57.0,19.0,8.0,31.0,49.0,12.0,37.0,3.0,62.0,14.0,0.0,2.0,0.0,18.0,2.0,16.0,1.0,30.0,32.0,16.0,7.0,8.0,0.0,19/20,4
Ironi Kiryat Shmona,0.0,50.96,6.0,2.0,5.0,1.0,0.0,5.0,11.0,431.0,1.0,0.0,354.0,299.0,31.0,15.0,115.0,57.0,22.0,15.0,43.0,50.0,8.0,42.0,6.0,76.0,14.0,0.0,1.0,0.0,15.0,0.0,14.0,0.0,21.0,27.0,28.0,2.0,0.0,3.0,19/20,4
Bnei Yehuda,1.0,50.12,6.0,2.0,4.0,2.0,0.0,1.0,5.0,516.0,2.0,1.0,443.0,297.0,33.0,22.0,102.0,52.0,21.0,14.0,30.0,54.0,7.0,47.0,5.0,70.0,11.0,0.0,1.0,0.0,8.0,2.0,12.0,0.0,26.0,23.0,12.0,2.0,2.0,1.0,19/20,4
Sektzia Nes Ziona,0.0,49.88,12.0,4.0,7.0,5.0,0.0,5.0,15.0,520.0,2.0,0.0,438.0,350.0,33.0,11.0,102.0,50.0,26.0,16.0,27.0,50.0,7.0,43.0,0.0,72.0,11.0,0.0,0.0,0.0,13.0,2.0,8.0,0.0,29.0,31.0,19.0,1.0,2.0,3.0,19/20,4
Beitar Jerusalem,2.0,49.04,19.0,9.0,12.0,7.0,0.0,6.0,11.0,509.0,6.0,2.0,425.0,372.0,31.0,16.0,115.0,58.0,33.0,20.0,30.0,56.0,10.0,46.0,3.0,69.0,13.0,0.0,3.0,0.0,15.0,2.0,14.0,1.0,18.0,43.0,22.0,2.0,7.0,3.0,19/20,4
Hapoel Tel Aviv,0.0,47.87,11.0,5.0,3.0,8.0,0.0,2.0,9.0,352.0,1.0,1.0,289.0,239.0,19.0,9.0,116.0,59.0,25.0,14.0,28.0,42.0,9.0,33.0,1.0,65.0,16.0,0.0,4.0,0.0,18.0,1.0,18.0,0.0,28.0,28.0,14.0,2.0,2.0,4.0,19/20,4
Hapoel Raanana,1.0,46.41,9.0,2.0,8.0,1.0,0.0,3.0,16.0,454.0,5.0,5.0,388.0,262.0,22.0,8.0,102.0,46.0,22.0,10.0,32.0,51.0,3.0,48.0,9.0,72.0,23.0,0.0,4.0,0.0,14.0,1.0,12.0,1.0,24.0,28.0,10.0,3.0,4.0,1.0,19/20,4
Hapoel Hadera,2.0,44.22,11.0,4.0,6.0,5.0,0.0,1.0,9.0,380.0,7.0,5.0,311.0,282.0,25.0,9.0,115.0,60.0,30.0,19.0,32.0,48.0,2.0,46.0,7.0,60.0,17.0,0.0,6.0,0.0,12.0,1.0,11.0,1.0,24.0,30.0,16.0,4.0,6.0,1.0,19/20,4
